Panelist,Genotype,unique_ID,SampleOrder,Rank,CATA_aroma,CATA_all,Desc,NewDesc,DescCoded
46,117.17,46_117.17,4,4,"Metallic,Waxy","Effervescence-BubbleDensity-Compact, Metallic, Sour, Waxy, Waxy-Oil",Super light and very refreshing. It smells a bit like champagne,"light, refreshing","light, fruity"
47,120.17,47_120.17,1,4,,,"Easy, mellow, light flavor, on par with bud lite!","easy drinking, mellow, light, tastes like a macro brand",light
47,120.14,47_120.14,2,2,,Bitter,"Not much difference from 161, little more of a lager flavor",lager,0
47,117.17,47_117.17,3,1,,,More of a hops smell and flavor. That of a light pale ale,hoppy,0
47,Copeland,47_Copeland,4,3,Earthy,Earthy,Slightly bitter. Hoppy flavor. Cross between pale ale and pilsner,hoppy,bitter
48,117.17,48_117.17,1,4,"Earthy,Stale","Earthy, Earthy-Musty, Stale, Body-Viscosity-Thin","Musty, bitter, a bit skunky. Heavy density. Bad aftertaste. This tastes like pot","skunky, bad aftertaste","earthy, musty, bitter, heavy"
48,120.17,48_120.17,2,1,"Floral,SweetAromatic","SweetAromatic, Floral, Body-Viscosity-Thin","Floral, grain, clean. Very refreshing","clean flavor, refreshing","floral, cereal, grain"
48,Copeland,48_Copeland,3,2,"SweetAromatic,Earthy","Earthy, Earthy-Musty, SweetAromatic, Body-Viscosity-Thin","Light, musty, biscuit. Pretty good. Has some pot smell but it's a bit sweeter","light, good flavor","light, earthy, musty, cereal, biscuit, sweet"
48,120.14,48_120.14,4,3,Vegetal,"Vegetal, Bitter, Body-Particulate-Smooth, Body-Viscosity-Thick","Bitter, earthy, similar to 827",,"bitter, earthy"
49,Copeland,49_Copeland,1,4,Fruity,"Fruity, Fruity-Citrus, Body-Viscosity-Thin, Effervescence-BubbleDensity-Dispersed, Sour","Very light, dry, little flavor beyond slight hoppiness","light, hoppy","light, drying "
49,117.17,49_117.17,2,3,Cereal,"Cereal, Cereal-Malt, Body-Particulate-Smooth, Effervescence-BubbleSize-Small, Body-Density-Light","Sweeter, maltier, slightly darker (still light)",,"sweet, cereal, malt, light"
49,120.14,49_120.14,3,1,Woody,"Irritation-Alcohol-Warm, Body-Viscosity-Thick, Woody","Medium, warm, smooth, toasty",smooth,"warm, smooth, cereal, toast"
49,120.17,49_120.17,4,2,Fruity,"Fruity, Fruity-Pear, Fruity-Apple, Afterfeel-Slippery-High, Body-Particulate-Smooth","Fruity, mellow, light",smooth,"fruity, light"
50,120.14,50_120.14,1,1,,,"Smooth and light, nice","smooth, light, nice","smooth, light"
50,Copeland,50_Copeland,2,4,,,"Thin, not overly aromatic",,thin
50,120.17,50_120.17,3,2,,,"Nice aroma, soft flavor",nice aroma,0
50,117.17,50_117.17,4,3,Fruity,Fruity ,"Light aroma, mildly bitter",light,"light, bitter"
51,120.17,51_120.17,1,4,Fruity,"Effervescence-BubbleDensity-Dispersed, Effervescence-BubbleSize-Small, Fruity",Very light--not very flavorful,"light, bland",light
51,120.14,51_120.14,2,1,Fruity,"Bitter, Fruity, Fruity-Citrus","Flavorful, slightly bitter, refreshing","good flavor, refreshing",bitter
51,117.17,51_117.17,3,2,,"Bitter, Sour","Flavorful, slightly bitter, refreshing","good flavor, refreshing",bitter
51,Copeland,51_Copeland,4,3,Fruity,"Bitter, Fruity, Fruity-Pear","Very light, flavorful, refreshing","light, good flavor,refreshing",light
52,117.17,52_117.17,1,4,Floral,Floral,"Little taste, smells better? Like a blonde",,0
52,120.17,52_120.17,2,3,Floral,Floral,"Better than 562, like a blonde",,0
52,Copeland,52_Copeland,3,2,Floral,Floral,"Better than 562 and 161, like a blonde",,0
52,120.14,52_120.14,4,1,"Floral,Cereal","Floral, Cereal, Cereal-Malt","More of an amber color, best tasting",favorite,0
53,Copeland,53_Copeland,1,2,SweetAromatic,"SweetAromatic, SweetAromatic-Honey","Crisp, very clear, clean, golden light, honey","crisp, clean flavor","light, sweet aromatic, honey"
53,117.17,53_117.17,2,3,Cereal,"Cereal, Cereal-Bread, Cereal-Grain, Cereal-Malt","Light, slightly more malty than 827, slightly bitter",light,"light, cereal, malt, bitter"
53,120.14,53_120.14,3,1,"SweetAromatic,Cereal","SweetAromatic, SweetAromatic-Honey, Cereal, Cereal-Malt, Body-Particulate-Smooth","Golden? smooth, sweet, smooth",smooth,"smooth, sweet"
53,120.17,53_120.17,4,4,Grassy,"Grassy, Grassy-FreshCutGrass","Clear, slightly bitter, dry",,"bitter, drying"
54,120.14,54_120.14,1,1,,"Fruity, Vegetal, Vegetal-Corn, Cereal, Cereal-Malt, SweetAromatic, SweetAromatic-Honey","So good! Fruity aroma, very reminiscent of a pilsner, very flavorful, golden, crispy, sweet and corny malt finish, honey notes","favorite, good flavor","sweet aromatic, honey, vegetal, corn, cereal, malt, fruity"
54,Copeland,54_Copeland,2,2,,"Fruity, Spicy, Spicy-Clove, Herbacious, Body-Density-Light, Body-Viscosity-Thin","More fruity, clove smell, slightly herbal, more diluted, less mouthfeel, very wet",,"fruity, spicy, clove, herbacious"
54,120.17,54_120.17,3,3,,"Sour, Sweet, Medicinal, Medicinal-BandAid","Low to no aroma. Sour initially with sweet finish, bandaid flavor with quick dissociation of flavor","low aroma, no aftertaste","sour, sweet, medicinal, band-aid"
54,117.17,54_117.17,4,4,,"Cereal, cereal-malt","Neutral, slightly malty, smell, chemical taste, bland to no flavor",bland,"cereal, malt, solvent"
55,120.17,55_120.17,1,2,Earthy,"Effervescence-BubbleSize-Small, Body-Viscosity-Thin, Earthy","Light, very drinkable","light, easy drinking",light
55,120.14,55_120.14,2,3,Woody,"Woody, Afterfeel-Astringency-Drying, Bitter","Medium density, dry aftertaste",,"heavy, drying"
55,117.17,55_117.17,3,1,Fruity,"Fruity, Fruity-Pear, Body-Density-Light, Sweet","Sweet smelling, semisweet at first but dry aftertaste",,"sweet, drying, bitter"
55,Copeland,55_Copeland,4,4,Earthy,"Bitter, Afterfeel-Astringency-Drying, Body-Density-Heavy, Earthy","Bitter smelling, bitter and tart, clean aftertaste",,"bitter, sour"
56,117.17,56_117.17,1,4,"Earthy,Dairy","Dairy, Bitter, Earthy","Tastes like a blonde, not my first choice",least favorite,0
56,120.17,56_120.17,2,2,"Fruity,Floral","Floral, Fruity, Fruity-Citrus",Enjoy more than 562. Maybe a lager,lager,0
56,Copeland,56_Copeland,3,3,"Burnt,Metallic","Burnt, Metallic","Very similar to 562. Possibly a blonde, dislike this one",least favorite,0
56,120.14,56_120.14,4,1,"Fruity,Medicinal","Fruity, Fruity-Citrus, Medicinal",Tastes more like an ale. Most enjoyable. More hoppy flavor. Best for sure.,"favorite, hoppy",0
57,Copeland,57_Copeland,1,2,"Earthy,Woody,Metallic","Earthy, Woody, Metallic, Body-Particulate-Smooth","Tastes like a typical light beer with more flavor, don't know if flavor is hoppiness",tastes like a macro brand; good flavor; hoppy,light
57,117.17,57_117.17,2,1,"SweetAromatic,Grassy,Cereal","SweetAromatic, Cereal, Grassy","Light, grainy, that smells sweet, very good","light, good flavor","light, cereal, grain, sweet"
57,120.14,57_120.14,3,4,"Alcoholic,Solvent,Stale","Alcoholic, Solvent, Stale, Body-Density-Heavy","Not much taste but it tastes like it is stronger than most ""light"" beers","tastes like a macro brand, bland",0
57,120.17,57_120.17,4,3,"Earthy,Stale","Earthy, Stale, Body-Particulate-Smooth, Effervescence-BubbleDensity-Compact","Needs a little more flavor, seems a little too light in flavor, definitely refreshing","light, bland, refreshing",light
58,120.14,58_120.14,1,4,"Earthy,Nutty,Vegetal,Stale","Earthy, Nutty, Vegetal, Stale",Tastes like Rainier. Not as crisp or fresh as micro,tastes like a macro brand,0
58,Copeland,58_Copeland,2,1,"SweetAromatic,Herbacious,Grassy","SweetAromatic, Herbacious, Grassy",Much smoother than 728. Not much scent when sniffed. Taste is good,"smooth, low aroma, good taste",smooth
58,120.17,58_120.17,3,2,"Fruity,Earthy,Woody,Nutty","Fruity, Earthy, Woody, Nutty",More bitter than 728 or 827. But not overwhelming,,bitter
58,117.17,58_117.17,4,3,"Floral,Herbacious,Nutty","Floral, Herbacious, Earthy, Nutty","Similar to 728, but not as aromatic",low aroma,0
59,120.17,59_120.17,1,4,Stale,"Stale, Bitter","Light, standard beer flavor","tastes like a macro brand, light",light
59,120.14,59_120.14,2,3,Fruity,"Fruity, Fruity-Pear, Afterfeel-Astringency-Drying, Bitter","Slight after flavor of bitter or happiness, light fruit tones",bitter aftertaste,"bitter, fruity"
59,117.17,59_117.17,3,2,"Fruity,SweetAromatic","Fruity, Fruity-Melon, SweetAromatic, SweetAromatic-Caramel, Effervescence-BubbleSize-Large",Very fizzy bit sour,,"bubbly, sour"
59,Copeland,59_Copeland,4,1,Fruity,"Fruity, Fruity-Tropical, Fruity-Tropical-Pineapple, Body-Particulate-Smooth","Smooth, very light berry flavor aftertaste",smooth,"smooth, fruity, berry"
60,117.17,60_117.17,1,3,"Spicy,Grassy,Waxy","Grassy, Waxy, Spicy, Spicy-BlackPepper",Slightly grassy and waxy. Not very strong body. Doesn't last long on the palate,no aftertaste,"grassy, waxy"
60,120.17,60_120.17,2,2,"Woody,Solvent","Woody, Nutty",Wonderful woody smell. Slightly nutty taste. Lingers a little on the palate,nice aroma,"woody, nutty"
60,Copeland,60_Copeland,3,1,"Floral,Solvent",Floral,Slightly floral tasting. A little sweet,,"floral, sweet"
60,120.14,60_120.14,4,4,"Spicy,Woody,Stale","Woody, Spicy",Heavy woody smell but not when sampling. Bland taste,bland,woody
61,Copeland,61_Copeland,1,2,Grassy,Grassy,"Fine, strong",strong,0
61,117.17,61_117.17,2,3,,,Mellower,mellow,0
61,120.14,61_120.14,3,4,,Effervescence-BubbleDensity-Dispersed,Very light,light,light
61,120.17,61_120.17,4,1,,,"Nice, classic flavor",good flavor,0
62,120.14,62_120.14,1,3,Earthy,Earthy,Flavorful,good flavor,0
62,Copeland,62_Copeland,2,1,Grassy,Grassy,"Too light of a flavor, like budweiser","tastes like a macro brand, bland",light
62,120.17,62_120.17,3,4,"Earthy,Cereal","Earthy, Cereal",Tastes a bit like an IPA,,0
62,117.17,62_117.17,4,2,Grassy,Grassy,Tastes like sample 827 but better,,0
63,120.17,63_120.17,1,3,,"Body-Density-Light, Sweet","Smooth, mellow, sweet, thin","smooth, mellow","smooth, sweet, thin"
63,120.14,63_120.14,2,1,"Earthy,Nutty","Earthy, Nutty",Bitter effervescent,,"bitter, bubbly"
63,117.17,63_117.17,3,2,,Afterfeel-Slippery-High,Umami butter,,"umami, dairy, butter"
63,Copeland,63_Copeland,4,4,SweetAromatic,"SweetAromatic, SweetAromatic-Bubblegum",Light cream,,light
65,Copeland,65_Copeland,1,4,"Floral,Earthy,Cereal","Earthy, Floral, Bitter, Cereal, Cereal-Malt","Earthy, floral, bitter, herbaceous, malty",,"earthy, floral, bitter, herbacious, cereal, malt"
65,117.17,65_117.17,2,1,"Cereal,Vegetal","Vegetal, Cereal","Vegetal, cereal, light sweet, malty",,"vegetal, cereal, sweet, malt"
65,120.14,65_120.14,3,3,"Grassy,Cereal","Cereal, cereal-malt, Grassy","Malty, grassy, cereal, flavorful",good flavor,"cereal, malt, grassy"
65,120.17,65_120.17,4,2,"SweetAromatic,Earthy","Body-Density-Light, Earthy, SweetAromatic","Light, earthy, sweet",light,"light, earthy, sweet"
66,120.14,66_120.14,1,1,Floral,"Floral, Afterfeel-Astringency-Low","Floral, slight drying afterfeel, light, complete","light, balanced","floral, drying, light"
66,Copeland,66_Copeland,2,3,Cereal,Cereal,"cereal, flat tasting",flat,"cereal, flat"
66,120.17,66_120.17,3,4,Cereal,Cereal,cereal,,cereal
66,117.17,66_117.17,4,2,Woody,Woody,Woody,,woody
67,120.17,67_120.17,1,1,Earthy,"Earthy, Earthy-Soil, Sweet","Bitter, warm alcohol feel, smells like barley",,"bitter, warm, cereal, grain"
67,120.14,67_120.14,2,4,Burnt,"Bitter, Burnt, Burnt-Smoke","Sharp smell, sour, earthy, strong aftertaste","strong aftertaste, sharp","sour, earthy"
67,117.17,67_117.17,3,2,"Grassy,Woody","Grassy, Woody","Sour smell, bitter, more carbonation",,"sour, bitter, bubbly"
67,Copeland,67_Copeland,4,3,Woody,"Woody, Bitter","Smells woody, very bitter, strong aftertaste",strong aftertaste,"woody, bitter"
70,120.14,70_120.14,1,1,,Body-Density-Light,Light,light,light
70,Copeland,70_Copeland,2,4,,Fruity,Fruity,,fruity
70,120.17,70_120.17,3,3,,"Fruity, Fruity-Tropical",Tropical,,"fruity, tropical"
70,117.17,70_117.17,4,2,,,0,,0
71,120.17,71_120.17,1,2,,,Taste like budweiser,tastes like a macro brand,0
71,120.14,71_120.14,2,3,Fruity,"Fruity, Fruity-Coconut, Body-Particulate-Smooth","Buttery smooth, coconut aftertaste",,"smooth, fruity, coconut"
71,117.17,71_117.17,3,4,,Irritation-Carbonation-Tingle,Light but bitter,,"light, bitter"
71,Copeland,71_Copeland,4,1,Waxy,"Waxy, Waxy-Soap",ripe,,ripe
72,117.17,72_117.17,1,2,Fruity,"Sweet, Fruity, Fruity-Pear","Crisp, clean, earthy, citrus","crisp, clean flavor","earthy, fruity, citrus"
72,120.17,72_120.17,2,1,Fruity,"Fruity, Fruity-StoneFruit, Fruity-StoneFruit-Peach","Sour malty, more acid, sharper",sharp,"sour, cereal, malt, sour, sharp"
72,Copeland,72_Copeland,3,3,Alcoholic,Body-Viscosity-Thick,"Grassy, citrus",,"grassy, fruity, citrus"
72,120.14,72_120.14,4,4,Fruity,"Fruity, Sweet",Fuller flavor,good flavor,0
73,Copeland,73_Copeland,1,1,,,"Clean, bright, lager-ish, fresh flavor","clean flavor, lager",0
73,117.17,73_117.17,2,2,,,"Good, not so fresh tasting",good,0
73,120.14,73_120.14,3,4,,,"Crisper but still a little nondescript. Easy drinking, indistinct.","crisp, easy drinking, bland",0
73,120.17,73_120.17,4,3,,,"Similar to 728. Ok, but nothing standing out",bland,0
74,120.14,74_120.14,1,3,,"Body-Density-Light, Sweet","Hoppy, light bodied pale ale I think","hoppy, light",light
74,Copeland,74_Copeland,2,4,"Grassy,Earthy","Grassy, Body-Density-Light, Earthy","Lager, tastes like a Rainier beer","tastes like a macro brand, lager",0
74,120.17,74_120.17,3,1,Earthy,Earthy,"Medium bodied, fresh hop taste",hoppy,heavy
74,117.17,74_117.17,4,2,"Woody,Burnt","Burnt, Woody",Kind of a darker taste like a double IPA,,0
75,120.17,75_120.17,1,2,,"Fruity, Bitter, Body-Density-Heavy","Lager like, bitter (low), good body (medium), fruit (nondescript)",lager,"bitter, heavy, fruity"
75,120.14,75_120.14,2,4,,"Fruity, Fruity-Apple, Fruity-Pear, SweetAromatic, SweetAromatic-Candy, Sweet, Body-Density-Heavy, Body-Particulate-Smooth, Grassy","Apple/pear, candy sweet, medium body, low bitter, smooth, grassy",smooth,"fruity, apple, pear, sweet, heavy, bitter, smooth, grassy"
75,117.17,75_117.17,3,3,,Spicy,"Spicier, lager like, needs more bitter",lager,spicy
75,Copeland,75_Copeland,4,1,,"Cereal, Cereal-Malt, Body-Density-Heavy, Spicy, Cereal-GrahamCracker","Malty, umami, good body (medium), little spice *illegible*",,"cereal, malt, umami, heavy, spicy"
76,117.17,76_117.17,1,2,"Herbacious,Vegetal","Herbacious, Herbacious-Rosemary, Vegetal, Vegetal-Celery, Irritation-Cooling","Light, hoppy, and earthy","light, hoppy","light, earthy"
76,120.17,76_120.17,2,3,Grassy,"Grassy, Grassy-FreshCutGrass, Body-Viscosity-Thin, Effervescence-BubbleDensity-Compact",Herby and bitter,,"herbacious, bitter"
76,Copeland,76_Copeland,3,1,"Floral,Grassy","Floral, Floral-Citronella, Floral-Violet, Grassy",Floral and watery,watery,"floral, light"
76,120.14,76_120.14,4,4,Medicinal,"Medicinal-BurntRubber, Afterfeel-Slippery-High",Medicinal,,medicinal
77,Copeland,77_Copeland,1,3,"Fruity,Grassy","Fruity, Fruity-Apple, Grassy","Hoppy, grassy",hoppy,grassy
77,117.17,77_117.17,2,2,"Fruity,Woody","Fruity, Fruity-Apple, Sweet, Woody","Apple, sweet",,"fruity, apple, sweet"
77,120.14,77_120.14,3,4,"Fruity,Earthy","Fruity, Fruity-Pear, Earthy","Pear, sweet, earthy",,"fruity, pear, sweet, earthy"
77,120.17,77_120.17,4,1,"Fruity,Floral,SweetAromatic","Fruity, Fruity-Citrus, SweetAromatic","Citrus, flat, small bubbles",flat,"citrus, flat, small bubbles"
82,Copeland,82_Copeland,1,1,"Earthy,Nutty","Earthy, Body-Particulate-Smooth, Nutty","Earthy scent, smooth and citrusy",smooth,"earthy, smooth, fruity, citrus"
82,120.17,82_120.17,2,2,Nutty,Fruity,"Fruit Scent, bubbly with slight nutty taste, long lasting after taste",good aftertaste,"fruity, bubbly, nutty"
82,120.14,82_120.14,3,3,Nutty,"Sweet, Nutty, Body-Particulate-Smooth","Nutty and smooth, low aftertaste, not very flavorful at all very light","no aftertaste, bland, light","nutty, smooth, light"
82,117.17,82_117.17,4,4,Woody,"Sour, Body-Particulate-Smooth, Woody","Sour smell, smooth, slightly woody flavor",smooth,"sour, smooth, woody"
83,Copeland,83_Copeland,1,1,,"Bitter, Sweet, Body-Particulate-Smooth, Effervescence-BubbleDensity-Dispersed, Body-Density-Heavy",Proper ale. Well balanced with good flavor,"balanced, good flavor",0
83,120.14,83_120.14,2,2,,"Salty, Bitter, Effervescence-BubbleSize-Small, Effervescence-BubbleDensity-Compact","Sweet, pilsner? bitter aftertaste",bitter aftertaste,"sweet, bitter"
83,117.17,83_117.17,3,3,,"Bitter, Body-Viscosity-Thick, Afterfeel-Astringency-Drying","Malty, very light beer. Little hop flavor","light, hoppy","cereal, malt, light"
83,120.17,83_120.17,4,4,,"Sour, Effervescence-BubbleDensity-Dispersed, Body-Density-Light","Light lagery beer, ""macro beer""","tastes like a macro brand, light, lager",light
84,117.17,84_117.17,1,3,Floral,Floral,"Smells nice. Has a nice earthy taste, also leaves a nice aftertaste","nice aroma, good aftertaste",earthy
84,120.17,84_120.17,2,1,Fruity,Fruity,Nice fruity smell. Has a bit of a floral taste. Bit of a strong aftertaste,strong aftertaste,"fruity, floral"
84,Copeland,84_Copeland,3,2,Cereal,Cereal,"Has a neutral smell. Pretty light taste, light density","low aroma, bland, light",light
84,120.14,84_120.14,4,4,Earthy,Earthy,"Bit of a grainy taste, strong aftertaste",strong aftertaste,"cereal, grain"
87,120.17,87_120.17,1,3,,,"Taste good, strong aftertaste, strong smell","good taste, strong aftertaste",0
87,120.14,87_120.14,2,1,,Bitter,"Taste great, not strong smell, not bad aftertaste, little bitter","good taste, low aroma, good aftertaste",bitter
87,117.17,87_117.17,3,4,,"Bitter, Grassy","Bitter, not strong smell, aftertaste grassy",low aroma,"bitter, grassy"
87,Copeland,87_Copeland,4,2,,Grassy,"No smell, not strong aftertaste, grassy","low aroma, no aftertaste",grassy
89,Copeland,89_Copeland,1,1,"Fruity,Cereal","Fruity, Fruity-StoneFruit, Fruity-Citrus, Cereal, Bitter, Body-Density-Light, effervescence-bubbledensity-compact",Nose has a strong citrus smell along with stone fruit like tangerine. Follow through has a lighter flavor like a wit but tangerine up front. Finishes on a mild hoppiness,hoppy,"fruity, citrus, stone fruit, tangerine"
89,117.17,89_117.17,2,4,"Cereal,Waxy","Cereal, Cereal-Bread, Waxy, Waxy-Fat, Afterfeel-Slippery-Low, Afterfeel-Astringency-Drying","Almost nothing on the nose. Flavor is a ready lightness akin to a pilsner, blooms into a fuller flavor that coats the roof of the mouth. Does not have a follow through aftertaste. Very crisp with short finish","light, no aftertaste, crisp, tastes like a macro brand",0
89,120.14,89_120.14,3,3,"Fruity,Grassy","Grassy, Grassy-GreenLeaves, Fruity, Fruity-Melon, Body-Particulate-Smooth, Body-Density-Light, Effervescence-BubbleDensity-Dispersed","Melon like sweetness that coats the tongue, very mild bitterness on the back end. Transitions to a more earthy hoppy flavor",hoppy,"earthy, fruity, melon, bitter"
89,120.17,89_120.17,4,2,Fruity,"Fruity, Fruity-Tropical, Fruity-Tropical-Pineapple, Afterfeel-Astringency-Drying","Strong tropical nose and flavor, fresh pineapple without being too sweet, full bodied that has a moderate happens that fades quickly, leaving a semi sweet aftertaste",sweet aftertaste,"fruity, tropical, pineapple, sweet"
90,120.14,90_120.14,1,1,Woody,"Woody, Sweet","Woody, nutty, smooth and light. Very nice feel in the mouth, no spicy, more smooth","smooth, light","woody, nutty, smooth, light, smooth"
90,Copeland,90_Copeland,2,2,Spicy,"Spicy, Bitter","Spicy floral sharp feeling on tongue, good flavor but do feel the spicy. Very effervescent","good flavor, sharp","floral, spicy, bubbly"
90,120.17,90_120.17,3,3,Ripe,"Ripe, Sour","Not much aroma or flavor, kinda flat, almost a dirty dishwater smell","low aroma, bland, flat",0
90,117.17,90_117.17,4,4,Vegetal,"Vegetal, Sour","Ripe malty, no distinct aroma, tasteless, a little bubbly but not much","low aroma, bland","cereal, malt, bubbly"
93,Copeland,93_Copeland,1,4,,Body-Particulate-Smooth,"Sample smelled and tasted like a domestic light beer. No floral smell or taste. No fruity smell or taste. Some carbonation but not overwhelming. Flavor was very flat. Smooth, no particulate.","tastes like a macro brand, low aroma, bland, flat, smooth","light, smooth"
93,117.17,93_117.17,2,2,,"Effervescence-BubbleDensity-Compact, Alcoholic","Sample tasted like a light beer with a very light floral taste. Floral smell was not present. Heavy carbonation, slight alcoholic taste",tastes like a macro brand,"floral, bubbly, alcoholic"
93,120.14,93_120.14,3,3,,"Earthy, Nutty, Effervescence-BubbleDensity-Compact, Effervescence-BubbleSize-Large","Sample had a slight earthy or nutty taste to it. Heavy carbonation, very sharp effervescence",sharp,"earthy, nutty, bubbly, sharp"
93,120.17,93_120.17,4,1,,"Fruity, effervescence-bubbledensity-dispersed, Sweet, Earthy",Sample had a very light fruity smell. Also was slightly flat with light carbonation. Taste was sweet to begin with and ended more earthy,,"fruity, flat, swet, earthy"
94,120.14,94_120.14,1,2,"Floral,Earthy","Floral, Earthy","Wheaty, crisp",crisp,"cereal, grain"
94,Copeland,94_Copeland,2,3,"Grassy,Woody","Grassy, Woody","Lots of hops, darker",hoppy,0
94,120.17,94_120.17,3,1,Metallic,Metallic,"Cream, less hops",hoppy,"dairy, cream"
94,117.17,94_117.17,4,4,Burnt,Burnt,Harsh,,0
95,120.17,95_120.17,1,2,"Fruity,Metallic","Fruity, Metallic, Bitter, Smooth","Taste like a light beer, slightly metallic with a strong smell. Definitely drinkable",tastes like a macro brand; easy drinking,"light, metallic"
95,120.14,95_120.14,2,3,"Burnt,Stale","Effervescence-BubbleDensity-Dispersed, Stale, Bitter, Burnt","Nice reddish-gold color, nutty finish. A little light on carbonation/bubbles, slightly sweet",,"nutty, flat, sweet"
95,117.17,95_117.17,3,4,"Floral,Spicy,Herbacious,Earthy","Floral, Herbacious, Earthy, Spicy","Hardly any smell, nice bubbles but not much flavor either. Tastes like a super light beer","low aroma, light, tastes like a macro brand","bubbly, light"
95,Copeland,95_Copeland,4,1,Fruity,"Sweet, Body-Viscosity-Thick, Sour, Fruity, Fruity-Citrus","Nice light flavor, slightly sweet and tangy, maybe a little spice","good flavor, light","light, sweet, sour, spicy"
96,117.17,96_117.17,1,3,Stale,"Bitter, Stale",Skunky tasting at first but better aftertaste,"skunky, good aftertaste",0
96,120.17,96_120.17,2,2,Stale,"Bitter, Stale",Same as 562 but not as bad at beginning,,0
96,Copeland,96_Copeland,3,1,Floral,Floral,"Bitter but not bad, lighter",light,"bitter, light"
96,120.14,96_120.14,4,4,Stale,"Bitter, Stale",same as 562,,0
97,Copeland,97_Copeland,1,1,Floral,Floral,"Floral, tasty, easy",easy drinking,floral
97,117.17,97_117.17,2,4,Stale,"Stale, Effervescence-BubbleDensity-Dispersed",Light,light,light
97,120.14,97_120.14,3,3,,,Light,light,light
97,120.17,97_120.17,4,2,,,Light,light,light
98,120.14,98_120.14,1,4,Fruity,"Fruity, Fruity-Tropical, Fruity-Tropical-Mango, Salty, Afterfeel-Astringency-Drying, Effervescence-BubbleDensity-Compact, Irritation-Cooling, Body-Density-Light","Biscuit and mango, light mouth feel",light,"cereal, biscuit, fruity, tropical, mango"
98,Copeland,98_Copeland,2,3,"Spicy,Ripe","Ripe, Ripe-Sweat, Sour, Bitter, Effervescence-BubbleDensity-Compact, Body-Density-Light","Ripe, spicy, bubbly, dry, bitter, green, smooth, light","smooth, light","ripe, spicy, bubbly, drying, bitter, grassy, vegetal, smooth, light"
98,120.17,98_120.17,3,2,"Floral,Alcoholic","Floral, Floral-Jasmine, Bitter, Body-Particulate-Smooth, Irritation-Alcohol-Burning, effervescence-bubbledensity-dispersed, Afterfeel-Astringency-Low","Floral, jasmine, bitter, smooth, alcohol, thin, flat, drying","smooth, flat","floral, jasmine, bitter, smooth, alcohol_burning, thin, flat, drying"
98,117.17,98_117.17,4,1,Nutty,"Nutty, Nutty-Almond, Effervescence-BubbleDensity-Dispersed, Afterfeel-Astringency-Low, Afterfeel-Slippery-High, Body-Particulate-Smooth, Body-Density-Heavy, Body-Viscosity-Thick, Sweet","Herbaceous, nutty, fat, low astringency, slippery, smooth, heavy, thick, sweet","smooth, heavy","herbacious, nutty, fat, low astringency, slippery, smooth, heavy, thick, sweet"
99,120.17,99_120.17,1,2,Cereal,"Cereal, Cereal-Malt, Sweet, Body-Density-Light, Body-Viscosity-Thin","Malty like a domestic beer, but not as sweet",tastes like a macro brand,"cereal, malt"
99,120.14,99_120.14,2,1,Cereal,"Cereal, Cereal-Bread, Sweet, Body-Density-Light, Body-Viscosity-Thin",Sweeter than 161,,sweet
99,117.17,99_117.17,3,3,Cereal,"Cereal, Cereal-Malt, Body-Density-Light, Body-Viscosity-Thin","Slightly sweet, refreshing",refreshing,sweet
99,Copeland,99_Copeland,4,4,Cereal,"Cereal, Cereal-Grain, Body-Density-Light, Body-Viscosity-Thin",Kind of sweet and bitter,,"sweet, bitter"
100,117.17,100_117.17,1,4,,"Effervescence-BubbleDensity-Compact, Effervescence-BubbleSize-Large","A little bitter, a little sour. Tastes familiar but stronger flavors, after feel astringent, bubbly, high effervescence, a little more sour/bitter than I prefer",bitter aftertaste,"bubbly, drying, bitter, sour"
100,120.17,100_120.17,2,2,,Effervescence-BubbleDensity-Dispersed,"Low effervescence, mild flavor, slightly fruity, somewhat forgettable",bland,"flat, fruity"
100,Copeland,100_Copeland,3,1,Fruity,"Fruity, Fruity-Citrus, Effervescence-BubbleSize-Small, Sweet","Great flavor, not too mild, not too much","good flavor, balanced",0
100,120.14,100_120.14,4,3,Fruity,"Effervescence-BubbleDensity-Dispersed, Irritation-Cooling, Fruity, Fruity-Apple","Apple flavors, low effervescence, smooth, easy to drink, would be a great summer beer","smooth, easy drinking, refreshing","fruity, apple, flat, smooth"
101,Copeland,101_Copeland,1,4,Medicinal,"Body-Viscosity-Thin, Bitter, Medicinal, Medicinal-BandAid, Afterfeel-Slippery-High","Slightly bitter, a little thin at first, but feels oily on tongue",,"bitter, thin, slippery"
101,117.17,101_117.17,2,2,Fruity,"Fruity, Body-Density-Light","Fruity, balanced, nice mouth feel all the way through",balanced,fruity
101,120.14,101_120.14,3,1,Fruity,"Sweet, Fruity","Well balanced and interesting, easy drinking","balanced, easy drinking",0
101,120.17,101_120.17,4,3,,"Bitter, Sweet, Body-Density-Heavy, Body-Viscosity-Thick","Thick, one dimensional (maybe two)",bland,thick
102,120.14,102_120.14,1,3,Cereal,"Cereal, Sweet, Irritation-Carbonation-Tingle, Afterfeel-Slippery-High, Body-Particulate-Smooth",Crisp malty start with slight bitter finish,crisp,"cereal, malt, bitter"
102,Copeland,102_Copeland,2,2,Cereal,"Bitter, Cereal, Body-Particulate-Smooth","Crisp and a bit bitter, but clean finish","crisp, good aftertaste",bitter
